id,round,labels,llm_ranks,chaosnli_ranks,kendall_tau
100136e,round_1,"e,n,c","[2, 1, 2]","[1, 2, 2]",-0.49999999999999994
100349e,round_1,"e,n,c","[1, 1, 1]","[1, 1, 2]",
100768n,round_1,"e,n,c","[1, 2, 2]","[1, 2, 3]",0.816496580927726
100792c,round_1,"e,n,c","[1, 1, 1]","[2, 2, 1]",
100895c,round_1,"e,n,c","[3, 1, 2]","[2, 1, 2]",0.816496580927726
10119e,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
101245n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
101253c,round_1,"e,n,c","[1, 1, 1]","[2, 1, 1]",
101525c,round_1,"e,n,c","[2, 1, 2]","[2, 1, 2]",0.9999999999999999
102075c,round_1,"e,n,c","[2, 1, 3]","[2, 1, 2]",0.816496580927726
10229n,round_1,"e,n,c","[1, 2, 2]","[2, 1, 2]",-0.49999999999999994
102563n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 1]",
102817c,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
102857n,round_1,"e,n,c","[1, 1, 2]","[1, 3, 2]",0.0
103169n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 2]",
103354n,round_1,"e,n,c","[2, 1, 2]","[2, 1, 2]",0.9999999999999999
103364n,round_1,"e,n,c","[1, 1, 2]","[1, 2, 2]",0.49999999999999994
103431n,round_1,"e,n,c","[1, 2, 2]","[2, 1, 3]",0.0
103559e,round_1,"e,n,c","[1, 1, 2]","[1, 3, 2]",0.0
104412e,round_1,"e,n,c","[2, 1, 2]","[1, 3, 2]",-0.816496580927726
104805e,round_1,"e,n,c","[2, 1, 2]","[1, 1, 2]",0.49999999999999994
105179c,round_1,"e,n,c","[2, 1, 2]","[2, 1, 1]",0.49999999999999994
105196n,round_1,"e,n,c","[2, 1, 1]","[1, 1, 2]",-0.49999999999999994
10547c,round_1,"e,n,c","[2, 1, 2]","[2, 2, 1]",-0.49999999999999994
105561e,round_1,"e,n,c","[1, 1, 2]","[2, 2, 1]",-0.9999999999999999
105769c,round_1,"e,n,c","[2, 1, 1]","[2, 2, 1]",0.49999999999999994
105911c,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
106013c,round_1,"e,n,c","[3, 1, 2]","[2, 3, 1]",-0.33333333333333337
106390n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
10724n,round_1,"e,n,c","[1, 2, 2]","[2, 1, 2]",-0.49999999999999994
107252c,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
107399c,round_1,"e,n,c","[2, 1, 1]","[2, 1, 1]",0.9999999999999999
1073c,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
107468n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
108027n,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
108624c,round_1,"e,n,c","[1, 1, 2]","[2, 2, 1]",-0.9999999999999999
10916n,round_1,"e,n,c","[1, 1, 2]","[1, 2, 2]",0.49999999999999994
109278n,round_1,"e,n,c","[2, 1, 1]","[3, 2, 1]",0.816496580927726
109679n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
109876n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 1]",
110061n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
110234e,round_1,"e,n,c","[1, 1, 1]","[1, 2, 2]",
111243n,round_1,"e,n,c","[2, 1, 2]","[1, 2, 2]",-0.49999999999999994
111338c,round_1,"e,n,c","[1, 1, 1]","[3, 2, 1]",
111338e,round_1,"e,n,c","[2, 1, 1]","[2, 1, 3]",0.0
111680e,round_1,"e,n,c","[2, 1, 2]","[1, 2, 2]",-0.49999999999999994
111693e,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
112349c,round_1,"e,n,c","[2, 1, 1]","[3, 2, 1]",0.816496580927726
112402c,round_1,"e,n,c","[2, 1, 2]","[3, 1, 2]",0.816496580927726
112547n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
11297c,round_1,"e,n,c","[3, 1, 2]","[2, 1, 1]",0.816496580927726
113039e,round_1,"e,n,c","[1, 1, 2]","[1, 1, 2]",0.9999999999999999
11303n,round_1,"e,n,c","[1, 1, 2]","[1, 1, 2]",0.9999999999999999
113193n,round_1,"e,n,c","[1, 1, 2]","[2, 1, 3]",0.816496580927726
11362e,round_1,"e,n,c","[1, 1, 1]","[3, 2, 1]",
113644n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
113668n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
113967e,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
114458e,round_1,"e,n,c","[2, 2, 1]","[1, 2, 3]",-0.816496580927726
114492n,round_1,"e,n,c","[2, 1, 2]","[2, 1, 2]",0.9999999999999999
114971e,round_1,"e,n,c","[1, 1, 1]","[1, 2, 2]",
115247c,round_1,"e,n,c","[2, 1, 1]","[3, 1, 2]",0.816496580927726
11534n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
115821n,round_1,"e,n,c","[2, 1, 2]","[2, 1, 3]",0.816496580927726
11601n,round_1,"e,n,c","[2, 1, 3]","[2, 1, 2]",0.816496580927726
116059n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
116176c,round_1,"e,n,c","[2, 1, 1]","[2, 1, 2]",0.49999999999999994
11618c,round_1,"e,n,c","[2, 1, 1]","[2, 2, 1]",0.49999999999999994
117089n,round_1,"e,n,c","[2, 1, 2]","[2, 1, 2]",0.9999999999999999
117093n,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
117177n,round_1,"e,n,c","[1, 1, 2]","[1, 1, 2]",0.9999999999999999
117576e,round_1,"e,n,c","[2, 1, 2]","[1, 1, 2]",0.49999999999999994
117680c,round_1,"e,n,c","[1, 1, 2]","[2, 2, 1]",-0.9999999999999999
117892n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 2]",
118403n,round_1,"e,n,c","[2, 1, 1]","[2, 1, 1]",0.9999999999999999
118415n,round_1,"e,n,c","[2, 1, 1]","[2, 1, 3]",0.0
118460n,round_1,"e,n,c","[1, 2, 2]","[2, 1, 2]",-0.49999999999999994
118999n,round_1,"e,n,c","[1, 1, 1]","[2, 1, 3]",
11971n,round_1,"e,n,c","[1, 1, 1]","[1, 1, 2]",
119768n,round_1,"e,n,c","[2, 1, 2]","[2, 1, 3]",0.816496580927726
120070n,round_1,"e,n,c","[1, 1, 1]","[2, 2, 1]",
120149c,round_1,"e,n,c","[2, 1, 1]","[2, 2, 1]",0.49999999999999994
120323n,round_1,"e,n,c","[1, 1, 2]","[1, 3, 2]",0.0
120896n,round_1,"e,n,c","[2, 1, 1]","[1, 2, 3]",-0.816496580927726
120955n,round_1,"e,n,c","[2, 1, 1]","[3, 1, 2]",0.816496580927726
121360c,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
121422c,round_1,"e,n,c","[1, 1, 1]","[3, 1, 2]",
121910c,round_1,"e,n,c","[1, 1, 1]","[2, 1, 1]",
121910e,round_1,"e,n,c","[2, 1, 2]","[1, 2, 2]",-0.49999999999999994
