id,llm_error,varierr_error
23751e,"[""e"", ""c"", ""n""]",[]
61429c,[],[]
54811c,"[""c"", ""n""]","[""contradiction""]"
12601n,"[""e"", ""c"", ""n""]",[]
38477c,"[""c"", ""n""]",[]
1735n,"[""e"", ""c"", ""n""]","[""neutral""]"
7449e,"[""e"", ""c"", ""n""]","[""entailment""]"
24385e,"[""e"", ""c"", ""n""]",[]
49807n,"[""c"", ""n""]",[]
138448c,"[""e"", ""c"", ""n""]",[]
48454c,"[""e"", ""c"", ""n""]","[""contradiction""]"
73260n,"[""c"", ""n""]","[""entailment""]"
76219n,"[""e"", ""n""]",[]
10229n,"[""e"", ""c"", ""n""]",[]
99791n,"[""e"", ""c"", ""n""]",[]
13964e,"[""e"", ""c"", ""n""]",[]
66185c,"[""n""]","[""contradiction""]"
65066n,"[""e"", ""c"", ""n""]",[]
76020e,"[""e"", ""c"", ""n""]",[]
83248c,"[""e"", ""c"", ""n""]","[""neutral""]"
79141n,"[""e"", ""c"", ""n""]",[]
97926n,"[""e"", ""c"", ""n""]",[]
45957e,"[""e"", ""c"", ""n""]",[]
24126n,"[""e"", ""c"", ""n""]","[""entailment""]"
135251n,"[""e"", ""c"", ""n""]",[]
48223n,"[""e"", ""c"", ""n""]",[]
73518n,[],[]
16996e,"[""e"", ""c"", ""n""]","[""contradiction""]"
69815n,"[""e"", ""c"", ""n""]",[]
35809n,"[""e"", ""c"", ""n""]",[]
30282n,"[""e"", ""c"", ""n""]",[]
142430c,"[""e"", ""c"", ""n""]",[]
127290n,"[""e"", ""c"", ""n""]",[]
100792c,"[""c"", ""n""]","[""entailment"", ""neutral""]"
75572n,"[""e"", ""c"", ""n""]",[]
22235n,"[""e"", ""c"", ""n""]",[]
40486n,"[""e"", ""c"", ""n""]",[]
13133n,"[""e"", ""c"", ""n""]",[]
94674c,"[""e"", ""n""]",[]
101525c,"[""e"", ""c"", ""n""]",[]
145495c,"[""c"", ""n""]",[]
93357c,"[""e"", ""c"", ""n""]",[]
42388e,"[""e"", ""c"", ""n""]",[]
22587e,"[""e"", ""c"", ""n""]",[]
131261n,"[""c"", ""n""]",[]
51353c,"[""e"", ""c"", ""n""]",[]
10547c,"[""e"", ""c"", ""n""]",[]
136360e,"[""e"", ""c"", ""n""]",[]
113193n,"[""c"", ""n""]","[""entailment""]"
120955n,[],"[""contradiction""]"
88188e,"[""e"", ""c"", ""n""]",[]
138966n,"[""e"", ""c"", ""n""]","[""contradiction""]"
48222n,"[""e"", ""c"", ""n""]",[]
18428n,"[""e"", ""c"", ""n""]",[]
116059n,"[""e"", ""c"", ""n""]",[]
67610c,"[""e"", ""c"", ""n""]",[]
95186n,"[""e"", ""c"", ""n""]",[]
77875e,"[""e"", ""c"", ""n""]",[]
65879c,"[""e"", ""c"", ""n""]",[]
86331e,"[""e"", ""c"", ""n""]",[]
65130n,"[""e"", ""c"", ""n""]","[""contradiction""]"
19578n,"[""c"", ""n""]",[]
83657c,"[""c""]",[]
102817c,"[""e"", ""c"", ""n""]","[""contradiction""]"
124590c,"[""c"", ""n""]",[]
96583n,"[""e"", ""c"", ""n""]",[]
132525n,"[""e"", ""c"", ""n""]",[]
11362e,"[""e"", ""c"", ""n""]",[]
107468n,"[""e"", ""c"", ""n""]","[""entailment""]"
145047e,"[""e"", ""c"", ""n""]",[]
55888c,"[""e"", ""c"", ""n""]",[]
138285n,"[""e"", ""c"", ""n""]",[]
57454c,"[""e"", ""c"", ""n""]",[]
88605n,"[""e"", ""c"", ""n""]",[]
72721e,"[""e"", ""c"", ""n""]",[]
49611e,"[""e"", ""c"", ""n""]",[]
16989c,"[""c"", ""n""]","[""contradiction""]"
112349c,"[""e"", ""c"", ""n""]","[""neutral""]"
119768n,"[""e"", ""c"", ""n""]","[""entailment""]"
111680e,"[""e"", ""c"", ""n""]",[]
43440n,"[""e"", ""n""]",[]
91709c,"[""e"", ""c"", ""n""]",[]
47798n,"[""n""]",[]
103364n,"[""e"", ""c"", ""n""]",[]
49462c,"[""e"", ""c"", ""n""]","[""contradiction""]"
97011c,"[""e"", ""c"", ""n""]",[]
56743e,"[""e"", ""c"", ""n""]",[]
48300c,"[""e"", ""c"", ""n""]",[]
105769c,"[""e"", ""c"", ""n""]",[]
53866e,"[""e"", ""c"", ""n""]","[""entailment""]"
136752e,"[""e"", ""c"", ""n""]",[]
14388e,"[""e"", ""c"", ""n""]","[""entailment""]"
103559e,"[""c"", ""n""]",[]
132019n,"[""e"", ""c"", ""n""]",[]
118999n,"[""e"", ""c"", ""n""]","[""entailment""]"
47404e,"[""e"", ""c"", ""n""]","[""entailment""]"
30171n,"[""c"", ""n""]",[]
134514c,[],[]
52542n,"[""e"", ""c"", ""n""]","[""contradiction""]"
47408n,"[""e"", ""c"", ""n""]","[""neutral""]"
135021n,"[""e"", ""c"", ""n""]","[""entailment""]"
88605e,"[""c"", ""n""]",[]
98710n,"[""e"", ""c"", ""n""]",[]
30894c,"[""e"", ""c"", ""n""]",[]
81356e,"[""e"", ""c"", ""n""]",[]
132516n,"[""c"", ""n""]","[""entailment""]"
34176n,"[""e"", ""c"", ""n""]",[]
77116e,"[""e"", ""c"", ""n""]",[]
76947n,"[""e"", ""c"", ""n""]",[]
139635n,"[""e"", ""c"", ""n""]",[]
101245n,"[""e"", ""c"", ""n""]",[]
8545c,"[""n""]","[""neutral""]"
8219n,"[""e"", ""c"", ""n""]","[""entailment""]"
115247c,"[""e"", ""c"", ""n""]",[]
99708e,"[""e"", ""c"", ""n""]",[]
82415n,"[""e"", ""c"", ""n""]","[""contradiction""]"
82700c,"[""e"", ""c"", ""n""]",[]
1073c,"[""e"", ""c"", ""n""]",[]
120149c,"[""e"", ""n""]",[]
124037n,"[""e"", ""n""]","[""entailment""]"
92062c,"[""n""]",[]
131235c,"[""e"", ""c"", ""n""]",[]
46820e,"[""n""]","[""contradiction""]"
77590c,"[""e"", ""c"", ""n""]",[]
128542e,"[""e"", ""c"", ""n""]","[""entailment""]"
74768e,"[""e"", ""c"", ""n""]",[]
122928e,"[""c"", ""n""]","[""entailment""]"
139409e,"[""e"", ""c"", ""n""]",[]
59208n,"[""e"", ""c"", ""n""]",[]
133597n,"[""e"", ""c"", ""n""]",[]
80517e,"[""e"", ""c"", ""n""]",[]
93236c,"[""n""]",[]
142643c,"[""e"", ""n""]",[]
31113e,"[""e"", ""c"", ""n""]",[]
34776c,"[""e"", ""c"", ""n""]","[""contradiction""]"
121422c,"[""e"", ""c"", ""n""]",[]
104805e,"[""e"", ""c"", ""n""]",[]
115821n,"[""e"", ""c"", ""n""]",[]
80630e,"[""e"", ""c""]","[""contradiction""]"
138862c,"[""e"", ""c"", ""n""]",[]
105179c,"[""e"", ""c"", ""n""]",[]
109876n,"[""e"", ""c"", ""n""]",[]
65353n,"[""e"", ""c"", ""n""]",[]
16494c,[],[]
60732n,"[""e"", ""c"", ""n""]",[]
88646c,"[""e"", ""c""]",[]
53074n,"[""c"", ""n""]",[]
61818n,"[""c"", ""n""]",[]
46003n,"[""c"", ""n""]",[]
6386n,"[""e"", ""c"", ""n""]",[]
98739n,"[""c"", ""n""]",[]
108624c,"[""c"", ""n""]",[]
106013c,"[""e"", ""c"", ""n""]","[""entailment""]"
37407n,"[""e"", ""c"", ""n""]",[]
70590c,"[""c""]",[]
23901e,"[""e"", ""c"", ""n""]",[]
23280n,"[""e"", ""c"", ""n""]",[]
135247c,[],[]
58357c,"[""e"", ""c"", ""n""]",[]
19803e,"[""e"", ""c"", ""n""]",[]
144753n,"[""e"", ""c"", ""n""]",[]
15100e,"[""e"", ""c"", ""n""]",[]
28507n,"[""e"", ""c"", ""n""]",[]
123748n,"[""e"", ""c"", ""n""]",[]
111338c,"[""c"", ""n""]",[]
52171c,"[""c"", ""n""]",[]
90548e,"[""e"", ""c"", ""n""]",[]
81842c,"[""e"", ""c"", ""n""]",[]
91601n,"[""n""]",[]
118415n,"[""c"", ""n""]",[]
113644n,"[""e"", ""c"", ""n""]",[]
47260n,"[""e"", ""c"", ""n""]",[]
129081e,"[""e"", ""c"", ""n""]",[]
18189e,"[""e"", ""c"", ""n""]",[]
91797c,"[""c"", ""n""]",[]
917c,"[""e"", ""c""]",[]
89995c,"[""c"", ""n""]","[""entailment""]"
33822e,"[""e"", ""c"", ""n""]",[]
42983e,"[""e"", ""c"", ""n""]",[]
6105e,"[""e"", ""c"", ""n""]",[]
26143n,"[""e"", ""c"", ""n""]",[]
100768n,"[""e"", ""c"", ""n""]",[]
82510e,"[""e"", ""c"", ""n""]",[]
102563n,"[""e"", ""c"", ""n""]",[]
48553c,"[""c"", ""n""]",[]
54458n,"[""e"", ""c"", ""n""]",[]
17576n,"[""e"", ""c"", ""n""]","[""contradiction"", ""entailment""]"
103431n,"[""e"", ""c"", ""n""]",[]
64123c,"[""e"", ""c"", ""n""]","[""contradiction""]"
56163c,"[""e"", ""c"", ""n""]",[]
11297c,"[""e"", ""c"", ""n""]","[""neutral""]"
32889n,"[""n""]",[]
19c,"[""n""]",[]
32754e,"[""e"", ""c"", ""n""]",[]
12815n,"[""e"", ""c"", ""n""]",[]
135898c,"[""e"", ""c"", ""n""]","[""contradiction""]"
82830n,"[""e"", ""c"", ""n""]",[]
74509n,"[""c"", ""n""]",[]
98944c,"[""e"", ""c"", ""n""]",[]
19208c,"[""e"", ""c"", ""n""]",[]
117576e,"[""e"", ""c"", ""n""]",[]
50484c,"[""e"", ""c"", ""n""]",[]
98445c,"[""e"", ""c"", ""n""]","[""contradiction""]"
7856c,"[""e"", ""c"", ""n""]",[]
8257n,"[""e"", ""c"", ""n""]",[]
141110n,"[""e"", ""c"", ""n""]","[""entailment""]"
84055n,"[""e"", ""c"", ""n""]","[""contradiction"", ""entailment""]"
143789n,"[""e"", ""n""]",[]
13911n,"[""c"", ""n""]","[""contradiction""]"
122062n,"[""e"", ""c"", ""n""]",[]
49396e,"[""e"", ""c"", ""n""]",[]
73444n,"[""e"", ""c"", ""n""]",[]
79106e,"[""e"", ""c"", ""n""]",[]
82230e,"[""c"", ""n""]",[]
14280n,"[""e"", ""c"", ""n""]",[]
19668c,"[""n""]","[""neutral""]"
12562n,"[""c"", ""n""]","[""entailment""]"
111693e,"[""e"", ""c"", ""n""]","[""entailment""]"
124839c,"[""e"", ""c"", ""n""]",[]
72870n,"[""e"", ""c"", ""n""]",[]
129601n,"[""e"", ""c"", ""n""]",[]
26372n,"[""c"", ""n""]","[""entailment""]"
74534n,"[""c"", ""n""]",[]
63469c,"[""e"", ""c"", ""n""]",[]
141321n,"[""e"", ""n""]",[]
68946c,"[""n""]",[]
41975c,"[""e"", ""c"", ""n""]",[]
100349e,"[""e"", ""c"", ""n""]",[]
107399c,"[""c"", ""n""]",[]
131623c,"[""e"", ""c"", ""n""]","[""contradiction""]"
58954c,"[""c"", ""n""]",[]
74377e,"[""e"", ""n""]",[]
130680e,"[""e"", ""c"", ""n""]",[]
49227n,"[""e"", ""c"", ""n""]",[]
124853e,"[""e"", ""c"", ""n""]","[""contradiction""]"
117892n,"[""e"", ""c"", ""n""]",[]
111243n,"[""e"", ""c"", ""n""]",[]
77654e,"[""e"", ""c"", ""n""]",[]
110061n,"[""e"", ""c"", ""n""]",[]
29844c,"[""e"", ""c"", ""n""]",[]
27335e,"[""e"", ""c"", ""n""]",[]
87332c,"[""n""]","[""entailment""]"
53499c,"[""e"", ""c"", ""n""]","[""entailment""]"
65199n,"[""e"", ""c"", ""n""]",[]
88050c,[],[]
34094e,"[""e"", ""c"", ""n""]",[]
72875e,"[""e"", ""c"", ""n""]",[]
19921n,"[""e"", ""c"", ""n""]",[]
23583e,"[""c"", ""n""]",[]
91106n,"[""n""]",[]
9557e,"[""e"", ""c"", ""n""]","[""entailment""]"
15537n,"[""e"", ""c"", ""n""]","[""entailment""]"
3476n,"[""n""]",[]
56124n,"[""e"", ""c"", ""n""]","[""entailment""]"
5193n,"[""e"", ""c"", ""n""]",[]
106390n,"[""e"", ""c"", ""n""]",[]
54327n,"[""e"", ""c"", ""n""]",[]
2870n,"[""e"", ""c"", ""n""]",[]
63218n,"[""e"", ""c"", ""n""]",[]
144753c,"[""e"", ""c"", ""n""]",[]
73191n,"[""e"", ""c"", ""n""]","[""contradiction""]"
62273n,"[""e"", ""c"", ""n""]",[]
58016c,"[""c"", ""n""]",[]
45605n,"[""e"", ""c"", ""n""]",[]
82174e,"[""e"", ""c"", ""n""]",[]
123703e,"[""c"", ""n""]",[]
127410n,"[""e"", ""c"", ""n""]",[]
55572n,"[""n""]",[]
45774c,"[""e"", ""c"", ""n""]","[""contradiction""]"
130869n,"[""n""]",[]
93955n,"[""e"", ""c"", ""n""]","[""entailment""]"
72870c,"[""c"", ""n""]","[""contradiction"", ""entailment""]"
77025c,"[""c"", ""n""]",[]
69975n,"[""e"", ""c"", ""n""]",[]
125238c,"[""e"", ""n""]",[]
27022c,"[""n""]",[]
66689c,[],"[""neutral""]"
112547n,"[""c"", ""n""]","[""entailment""]"
129081n,"[""e"", ""n""]",[]
45306n,"[""e"", ""c"", ""n""]",[]
76957c,"[""e"", ""c"", ""n""]",[]
2262n,"[""e"", ""c"", ""n""]","[""entailment""]"
40710n,"[""e"", ""c"", ""n""]",[]
21957n,"[""e"", ""c"", ""n""]",[]
14126e,"[""e"", ""c"", ""n""]",[]
79013n,"[""e"", ""c"", ""n""]","[""entailment"", ""neutral""]"
38156n,"[""e"", ""c"", ""n""]",[]
25304n,[],"[""neutral""]"
111338e,"[""e"", ""c"", ""n""]",[]
75259c,"[""c"", ""n""]","[""contradiction""]"
53211n,"[""n""]","[""entailment""]"
123267e,"[""e"", ""c"", ""n""]",[]
80808n,"[""e"", ""c"", ""n""]","[""neutral""]"
72740c,"[""e"", ""c"", ""n""]",[]
71251n,"[""c"", ""n""]",[]
117680c,"[""e"", ""n""]",[]
80930n,"[""c"", ""n""]",[]
98844n,"[""e"", ""c"", ""n""]",[]
127073c,"[""c"", ""n""]","[""contradiction""]"
61216c,"[""e"", ""c"", ""n""]",[]
102857n,"[""e"", ""c"", ""n""]","[""contradiction""]"
133243e,"[""e"", ""c"", ""n""]",[]
144408n,"[""c"", ""n""]",[]
104412e,"[""n""]","[""contradiction""]"
129601e,"[""e"", ""c"", ""n""]",[]
62238e,"[""e"", ""c"", ""n""]","[""entailment""]"
51353e,"[""e"", ""c"", ""n""]",[]
108027n,"[""n""]",[]
95883e,"[""e"", ""n""]",[]
26495e,"[""e"", ""c"", ""n""]",[]
67836n,"[""e"", ""c"", ""n""]",[]
21340n,"[""e"", ""c"", ""n""]","[""contradiction""]"
114971e,"[""n""]",[]
103354n,"[""c"", ""n""]","[""contradiction""]"
11971n,"[""e"", ""c"", ""n""]",[]
83722e,"[""e"", ""c"", ""n""]",[]
38527n,"[""e"", ""c"", ""n""]",[]
59934n,"[""c"", ""n""]","[""entailment""]"
10916n,"[""e"", ""c"", ""n""]",[]
34043c,"[""e"", ""c"", ""n""]","[""contradiction""]"
117089n,"[""e"", ""c"", ""n""]",[]
121910c,"[""e"", ""c"", ""n""]",[]
113668n,"[""e"", ""c"", ""n""]","[""contradiction"", ""entailment""]"
128176e,"[""n""]","[""entailment""]"
122322e,"[""c""]",[]
53619c,[],"[""entailment""]"
27287c,"[""c"", ""n""]",[]
125700e,"[""e"", ""c"", ""n""]",[]
96946n,"[""e"", ""c"", ""n""]",[]
17660e,"[""e"", ""c"", ""n""]",[]
107252c,"[""n""]",[]
113967e,"[""e"", ""c"", ""n""]",[]
129464c,"[""e"", ""c"", ""n""]",[]
