id,llm_error,varierr_error
23751e,"[""c"", ""n""]",[]
61429c,"[""e""]",[]
54811c,"[""n""]","[""contradiction""]"
12601n,"[""c"", ""n""]",[]
38477c,"[""e""]",[]
1735n,[],"[""neutral""]"
7449e,[],"[""entailment""]"
24385e,"[""c"", ""n""]",[]
49807n,[],[]
138448c,[],[]
48454c,"[""c""]","[""contradiction""]"
73260n,"[""c"", ""n""]","[""entailment""]"
76219n,"[""c"", ""n""]",[]
10229n,"[""n""]",[]
99791n,"[""c""]",[]
13964e,"[""c"", ""n""]",[]
66185c,[],"[""contradiction""]"
65066n,"[""n"", ""e""]",[]
76020e,"[""c"", ""n""]",[]
83248c,"[""e""]","[""neutral""]"
79141n,"[""n""]",[]
97926n,[],[]
45957e,"[""n""]",[]
24126n,"[""c"", ""n""]","[""entailment""]"
135251n,"[""c"", ""n""]",[]
48223n,"[""c"", ""n""]",[]
73518n,"[""e""]",[]
16996e,"[""c"", ""n""]","[""contradiction""]"
69815n,"[""e""]",[]
35809n,"[""c"", ""n""]",[]
30282n,"[""c"", ""n""]",[]
142430c,"[""c"", ""n""]",[]
127290n,"[""n""]",[]
100792c,"[""e""]","[""entailment"", ""neutral""]"
75572n,"[""c"", ""n""]",[]
22235n,"[""c"", ""n""]",[]
40486n,"[""c"", ""n""]",[]
13133n,"[""c"", ""n""]",[]
94674c,"[""e""]",[]
101525c,"[""e""]",[]
145495c,"[""n""]",[]
93357c,[],[]
42388e,"[""c"", ""n""]",[]
22587e,"[""n""]",[]
131261n,"[""c"", ""n""]",[]
51353c,"[""c"", ""e""]",[]
10547c,"[""e""]",[]
136360e,"[""c"", ""n""]",[]
113193n,"[""c"", ""n""]","[""entailment""]"
120955n,"[""e""]","[""contradiction""]"
88188e,"[""c""]",[]
138966n,[],"[""contradiction""]"
48222n,"[""c"", ""n""]",[]
18428n,"[""c"", ""n""]",[]
116059n,"[""c"", ""n""]",[]
67610c,"[""n""]",[]
95186n,[],[]
77875e,"[""c"", ""n""]",[]
65879c,"[""e""]",[]
86331e,"[""c""]",[]
65130n,"[""c"", ""n""]","[""contradiction""]"
19578n,"[""c"", ""e""]",[]
83657c,[],[]
102817c,[],"[""contradiction""]"
124590c,"[""e""]",[]
96583n,[],[]
132525n,"[""c"", ""n""]",[]
11362e,"[""c"", ""n""]",[]
107468n,"[""n""]","[""entailment""]"
145047e,"[""c"", ""n""]",[]
55888c,"[""n""]",[]
138285n,"[""c"", ""n""]",[]
57454c,"[""e""]",[]
88605n,"[""c"", ""n""]",[]
72721e,"[""n""]",[]
49611e,"[""n""]",[]
16989c,"[""e""]","[""contradiction""]"
112349c,"[""e""]","[""neutral""]"
119768n,"[""e""]","[""entailment""]"
111680e,"[""c"", ""n""]",[]
43440n,"[""c"", ""n""]",[]
91709c,"[""c"", ""n"", ""e""]",[]
47798n,"[""n""]",[]
103364n,"[""c"", ""n""]",[]
49462c,"[""n""]","[""contradiction""]"
97011c,[],[]
56743e,"[""c""]",[]
48300c,"[""e""]",[]
105769c,"[""n""]",[]
53866e,"[""c"", ""n""]","[""entailment""]"
136752e,"[""c"", ""n""]",[]
14388e,"[""n""]","[""entailment""]"
103559e,"[""n""]",[]
132019n,"[""n""]",[]
118999n,"[""c"", ""n""]","[""entailment""]"
47404e,[],"[""entailment""]"
30171n,"[""n""]",[]
134514c,"[""e""]",[]
52542n,"[""c"", ""n""]","[""contradiction""]"
47408n,"[""c"", ""n""]","[""neutral""]"
135021n,"[""e""]","[""entailment""]"
88605e,"[""c"", ""n""]",[]
98710n,"[""c"", ""n""]",[]
30894c,"[""c"", ""n""]",[]
81356e,"[""e""]",[]
132516n,"[""n""]","[""entailment""]"
34176n,[],[]
77116e,"[""c""]",[]
76947n,"[""n""]",[]
139635n,"[""n""]",[]
101245n,"[""c"", ""n""]",[]
8545c,"[""e""]","[""neutral""]"
8219n,"[""c""]","[""entailment""]"
115247c,"[""e""]",[]
99708e,"[""c"", ""n""]",[]
82415n,"[""n""]","[""contradiction""]"
82700c,"[""n""]",[]
1073c,"[""c""]",[]
120149c,[],[]
124037n,"[""c"", ""n""]","[""entailment""]"
92062c,[],[]
131235c,[],[]
46820e,[],"[""contradiction""]"
77590c,"[""c""]",[]
128542e,"[""c"", ""n""]","[""entailment""]"
74768e,"[""c""]",[]
122928e,"[""c"", ""n""]","[""entailment""]"
139409e,"[""n""]",[]
59208n,[],[]
133597n,[],[]
80517e,"[""c"", ""n""]",[]
93236c,"[""e""]",[]
142643c,[],[]
31113e,"[""n""]",[]
34776c,"[""e""]","[""contradiction""]"
121422c,"[""n""]",[]
104805e,"[""e""]",[]
115821n,"[""n""]",[]
80630e,"[""c"", ""n""]","[""contradiction""]"
138862c,"[""e""]",[]
105179c,"[""e""]",[]
109876n,"[""c"", ""n""]",[]
65353n,"[""c"", ""n""]",[]
16494c,"[""e""]",[]
60732n,"[""c"", ""n""]",[]
88646c,[],[]
53074n,[],[]
61818n,"[""e""]",[]
46003n,"[""c"", ""n""]",[]
6386n,"[""c"", ""n""]",[]
98739n,"[""c"", ""n""]",[]
108624c,"[""e""]",[]
106013c,"[""e""]","[""entailment""]"
37407n,"[""e""]",[]
70590c,"[""e""]",[]
23901e,"[""c"", ""n""]",[]
23280n,"[""n""]",[]
135247c,"[""n"", ""e""]",[]
58357c,"[""n""]",[]
19803e,"[""c"", ""n""]",[]
144753n,"[""c"", ""n""]",[]
15100e,"[""c"", ""n""]",[]
28507n,"[""c"", ""n""]",[]
123748n,"[""c"", ""n""]",[]
111338c,"[""e""]",[]
52171c,"[""e""]",[]
90548e,"[""c"", ""n""]",[]
81842c,"[""n""]",[]
91601n,[],[]
118415n,"[""c""]",[]
113644n,"[""c"", ""n""]",[]
47260n,"[""c"", ""e""]",[]
129081e,"[""c"", ""n""]",[]
18189e,"[""n""]",[]
91797c,"[""e""]",[]
917c,"[""n""]",[]
89995c,"[""e""]","[""entailment""]"
33822e,"[""c"", ""n""]",[]
42983e,"[""c"", ""n""]",[]
6105e,"[""c"", ""n""]",[]
26143n,"[""e""]",[]
100768n,"[""c"", ""n""]",[]
82510e,"[""e""]",[]
102563n,"[""e""]",[]
48553c,"[""n""]",[]
54458n,"[""c"", ""n""]",[]
17576n,"[""e""]","[""contradiction"", ""entailment""]"
103431n,"[""c""]",[]
64123c,[],"[""contradiction""]"
56163c,"[""n""]",[]
11297c,[],"[""neutral""]"
32889n,[],[]
19c,"[""e""]",[]
32754e,[],[]
12815n,"[""c"", ""n""]",[]
135898c,"[""n"", ""e""]","[""contradiction""]"
82830n,"[""e""]",[]
74509n,"[""c"", ""n""]",[]
98944c,"[""c"", ""n""]",[]
19208c,"[""n""]",[]
117576e,"[""c"", ""n""]",[]
50484c,"[""e""]",[]
98445c,"[""c""]","[""contradiction""]"
7856c,"[""n"", ""e""]",[]
8257n,"[""c""]",[]
141110n,"[""c"", ""n""]","[""entailment""]"
84055n,"[""e""]","[""contradiction"", ""entailment""]"
143789n,"[""c"", ""n""]",[]
13911n,"[""n""]","[""contradiction""]"
122062n,"[""c"", ""n""]",[]
