id,llm_error,varierr_error
23751e,"[""n"", ""c""]",[]
61429c,"[""c""]",[]
54811c,"[""c"", ""e""]","[""contradiction""]"
12601n,"[""n"", ""c""]",[]
38477c,"[""c"", ""e""]",[]
1735n,"[""n""]","[""neutral""]"
7449e,"[""n"", ""c"", ""e""]","[""entailment""]"
24385e,"[""n"", ""c""]",[]
49807n,"[""c""]",[]
138448c,"[""e""]",[]
48454c,"[""n"", ""c""]","[""contradiction""]"
73260n,"[""n"", ""c""]","[""entailment""]"
76219n,"[""n"", ""c""]",[]
10229n,"[""c""]",[]
99791n,"[""n"", ""c""]",[]
13964e,"[""n"", ""c""]",[]
66185c,"[""c"", ""e""]","[""contradiction""]"
65066n,"[""c"", ""e""]",[]
76020e,"[""n"", ""c""]",[]
83248c,[],"[""neutral""]"
79141n,"[""n"", ""c""]",[]
97926n,"[""c""]",[]
45957e,"[""c""]",[]
24126n,"[""n"", ""c""]","[""entailment""]"
135251n,"[""n"", ""c""]",[]
48223n,"[""n"", ""c""]",[]
73518n,"[""e""]",[]
16996e,"[""n"", ""c""]","[""contradiction""]"
69815n,"[""c""]",[]
35809n,"[""n"", ""c""]",[]
30282n,"[""n"", ""c""]",[]
142430c,"[""n"", ""c""]",[]
127290n,"[""n"", ""c""]",[]
100792c,"[""n""]","[""entailment"", ""neutral""]"
75572n,"[""n"", ""c""]",[]
22235n,"[""n"", ""c""]",[]
40486n,"[""n"", ""c""]",[]
13133n,"[""n"", ""c""]",[]
94674c,"[""n""]",[]
101525c,"[""c"", ""e""]",[]
145495c,"[""c"", ""e""]",[]
93357c,"[""c""]",[]
42388e,"[""n"", ""c""]",[]
22587e,"[""n"", ""c""]",[]
131261n,"[""n"", ""c""]",[]
51353c,"[""n"", ""c""]",[]
10547c,"[""e""]",[]
136360e,"[""n"", ""c""]",[]
113193n,"[""n"", ""c""]","[""entailment""]"
120955n,"[""c""]","[""contradiction""]"
88188e,"[""n"", ""c""]",[]
