id,llm_error,varierr_error
23751e,"[""e"", ""c"", ""n""]",[]
61429c,"[""e"", ""c"", ""n""]",[]
54811c,"[""e"", ""c"", ""n""]","[""contradiction""]"
12601n,"[""e"", ""c"", ""n""]",[]
38477c,"[""e"", ""c"", ""n""]",[]
1735n,"[""e"", ""c"", ""n""]","[""neutral""]"
7449e,"[""e"", ""c"", ""n""]","[""entailment""]"
24385e,"[""e"", ""c"", ""n""]",[]
49807n,"[""e"", ""c"", ""n""]",[]
138448c,"[""e"", ""c"", ""n""]",[]
48454c,"[""e"", ""c"", ""n""]","[""contradiction""]"
73260n,"[""e"", ""c"", ""n""]","[""entailment""]"
76219n,"[""e"", ""c"", ""n""]",[]
10229n,"[""e"", ""c"", ""n""]",[]
99791n,"[""e"", ""c"", ""n""]",[]
13964e,"[""e"", ""c"", ""n""]",[]
66185c,"[""e"", ""c"", ""n""]","[""contradiction""]"
65066n,"[""e"", ""c"", ""n""]",[]
76020e,"[""c"", ""n""]",[]
83248c,"[""e""]","[""neutral""]"
79141n,"[""e"", ""c"", ""n""]",[]
97926n,"[""e"", ""c"", ""n""]",[]
45957e,"[""e"", ""c"", ""n""]",[]
24126n,"[""e"", ""c"", ""n""]","[""entailment""]"
135251n,"[""e"", ""c"", ""n""]",[]
48223n,"[""e"", ""c"", ""n""]",[]
73518n,"[""e"", ""c"", ""n""]",[]
16996e,"[""e"", ""c"", ""n""]","[""contradiction""]"
69815n,"[""e"", ""c"", ""n""]",[]
35809n,"[""e"", ""c"", ""n""]",[]
30282n,"[""e"", ""c"", ""n""]",[]
142430c,"[""e"", ""c"", ""n""]",[]
127290n,"[""e"", ""c"", ""n""]",[]
100792c,"[""e"", ""c"", ""n""]","[""entailment"", ""neutral""]"
75572n,"[""e"", ""c"", ""n""]",[]
22235n,"[""e"", ""c"", ""n""]",[]
40486n,"[""e"", ""c"", ""n""]",[]
13133n,"[""e"", ""c"", ""n""]",[]
94674c,"[""e""]",[]
101525c,"[""e"", ""c"", ""n""]",[]
145495c,"[""e"", ""c"", ""n""]",[]
93357c,"[""e"", ""c"", ""n""]",[]
42388e,"[""e"", ""c"", ""n""]",[]
22587e,"[""e"", ""c"", ""n""]",[]
131261n,"[""e"", ""c"", ""n""]",[]
51353c,"[""e"", ""c"", ""n""]",[]
10547c,"[""e"", ""c"", ""n""]",[]
136360e,"[""e"", ""c"", ""n""]",[]
113193n,"[""e"", ""c"", ""n""]","[""entailment""]"
120955n,"[""e"", ""c"", ""n""]","[""contradiction""]"
88188e,"[""e"", ""c"", ""n""]",[]
138966n,"[""e"", ""c"", ""n""]","[""contradiction""]"
48222n,"[""e"", ""c"", ""n""]",[]
18428n,"[""e"", ""c"", ""n""]",[]
116059n,"[""e"", ""c"", ""n""]",[]
67610c,"[""e"", ""c"", ""n""]",[]
95186n,"[""e"", ""c"", ""n""]",[]
77875e,"[""e"", ""c"", ""n""]",[]
