id,round,labels,llm_ranks,chaosnli_ranks,kendall_tau
100136e,round_1,"e,n,c","[1, 2, 1]","[1, 2, 3]",0.0
100349e,round_1,"e,n,c","[1, 1, 1]","[1, 2, 3]",
100768n,round_1,"e,n,c","[3, 1, 2]","[1, 2, 3]",-0.33333333333333337
100792c,round_1,"e,n,c","[1, 2, 2]","[3, 1, 2]",-0.816496580927726
100895c,round_1,"e,n,c","[3, 2, 1]","[3, 1, 2]",0.33333333333333337
10119e,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
101245n,round_1,"e,n,c","[1, 3, 2]","[1, 2, 3]",0.33333333333333337
101253c,round_1,"e,n,c","[2, 1, 2]","[2, 3, 1]",-0.816496580927726
101525c,round_1,"e,n,c","[3, 1, 2]","[3, 1, 2]",1.0
102075c,round_1,"e,n,c","[1, 3, 2]","[3, 2, 1]",-0.33333333333333337
10229n,round_1,"e,n,c","[1, 2, 2]","[3, 1, 2]",-0.816496580927726
102563n,round_1,"e,n,c","[2, 1, 1]","[3, 1, 2]",0.816496580927726
102817c,round_1,"e,n,c","[1, 3, 2]","[3, 2, 1]",-0.33333333333333337
102857n,round_1,"e,n,c","[2, 1, 1]","[1, 2, 3]",-0.816496580927726
103169n,round_1,"e,n,c","[3, 1, 2]","[1, 2, 3]",-0.33333333333333337
103354n,round_1,"e,n,c","[2, 1, 1]","[1, 2, 3]",-0.816496580927726
103364n,round_1,"e,n,c","[2, 1, 2]","[1, 2, 3]",0.0
103431n,round_1,"e,n,c","[2, 2, 1]","[1, 2, 3]",-0.816496580927726
103559e,round_1,"e,n,c","[1, 1, 2]","[1, 2, 3]",0.816496580927726
104412e,round_1,"e,n,c","[1, 2, 3]","[1, 3, 2]",0.33333333333333337
104805e,round_1,"e,n,c","[1, 2, 1]","[3, 1, 2]",-0.816496580927726
105179c,round_1,"e,n,c","[1, 3, 2]","[3, 2, 1]",-0.33333333333333337
105196n,round_1,"e,n,c","[2, 1, 3]","[2, 1, 3]",1.0
10547c,round_1,"e,n,c","[2, 3, 1]","[3, 2, 1]",0.33333333333333337
105561e,round_1,"e,n,c","[2, 1, 2]","[1, 3, 2]",-0.816496580927726
105769c,round_1,"e,n,c","[2, 1, 2]","[3, 2, 1]",0.0
