id,llm_error,varierr_error
23751e,"[""c"", ""n""]",[]
61429c,"[""c""]",[]
54811c,"[""c"", ""e""]","[""contradiction""]"
12601n,"[""c"", ""n""]",[]
38477c,"[""c"", ""e""]",[]
1735n,"[""n""]","[""neutral""]"
7449e,"[""c"", ""n"", ""e""]","[""entailment""]"
24385e,"[""c"", ""n""]",[]
49807n,"[""c""]",[]
138448c,"[""e""]",[]
48454c,"[""c"", ""n""]","[""contradiction""]"
73260n,"[""c"", ""n""]","[""entailment""]"
76219n,"[""c"", ""n""]",[]
10229n,"[""c""]",[]
99791n,"[""c"", ""n""]",[]
13964e,"[""c"", ""n""]",[]
66185c,"[""c"", ""e""]","[""contradiction""]"
65066n,"[""c"", ""e""]",[]
76020e,"[""c"", ""n""]",[]
83248c,[],"[""neutral""]"
79141n,"[""c"", ""n""]",[]
97926n,"[""c""]",[]
45957e,"[""c""]",[]
24126n,"[""c"", ""n""]","[""entailment""]"
135251n,"[""c"", ""n""]",[]
48223n,"[""c"", ""n""]",[]
73518n,"[""e""]",[]
16996e,"[""c"", ""n""]","[""contradiction""]"
69815n,"[""c""]",[]
35809n,"[""c"", ""n""]",[]
30282n,"[""c"", ""n""]",[]
142430c,"[""c"", ""n""]",[]
127290n,"[""c"", ""n""]",[]
100792c,"[""n""]","[""entailment"", ""neutral""]"
75572n,"[""c"", ""n""]",[]
22235n,"[""c"", ""n""]",[]
40486n,"[""c"", ""n""]",[]
13133n,"[""c"", ""n""]",[]
94674c,"[""n""]",[]
101525c,"[""c"", ""e""]",[]
145495c,"[""c"", ""e""]",[]
93357c,"[""c""]",[]
42388e,"[""c"", ""n""]",[]
22587e,"[""c"", ""n""]",[]
131261n,"[""c"", ""n""]",[]
51353c,"[""c"", ""n""]",[]
10547c,"[""e""]",[]
136360e,"[""c"", ""n""]",[]
113193n,"[""c"", ""n""]","[""entailment""]"
120955n,"[""c""]","[""contradiction""]"
88188e,"[""c"", ""n""]",[]
138966n,"[""n""]","[""contradiction""]"
48222n,"[""n""]",[]
18428n,"[""c"", ""n""]",[]
116059n,"[""c"", ""n""]",[]
67610c,"[""n""]",[]
95186n,"[""c""]",[]
77875e,"[""c"", ""n""]",[]
65879c,"[""e""]",[]
86331e,"[""c"", ""n""]",[]
65130n,"[""c"", ""n""]","[""contradiction""]"
19578n,"[""c"", ""n""]",[]
83657c,"[""c""]",[]
102817c,"[""n""]","[""contradiction""]"
124590c,"[""e""]",[]
96583n,"[""c"", ""n""]",[]
132525n,"[""c"", ""n""]",[]
11362e,"[""c"", ""n""]",[]
107468n,"[""c"", ""n""]","[""entailment""]"
145047e,"[""c"", ""n""]",[]
55888c,"[""c"", ""n""]",[]
138285n,"[""c"", ""n""]",[]
57454c,"[""e""]",[]
88605n,"[""c"", ""n""]",[]
72721e,"[""c"", ""n""]",[]
49611e,"[""n"", ""e""]",[]
16989c,"[""n""]","[""contradiction""]"
112349c,"[""e""]","[""neutral""]"
119768n,"[""c"", ""e""]","[""entailment""]"
111680e,"[""c"", ""n""]",[]
43440n,"[""c"", ""n""]",[]
91709c,"[""c"", ""n""]",[]
47798n,"[""n""]",[]
103364n,"[""c"", ""n""]",[]
49462c,"[""c""]","[""contradiction""]"
97011c,"[""e""]",[]
56743e,"[""c"", ""n""]",[]
48300c,"[""e""]",[]
105769c,"[""n""]",[]
53866e,"[""c"", ""n""]","[""entailment""]"
136752e,"[""c"", ""n""]",[]
14388e,"[""c"", ""n""]","[""entailment""]"
103559e,"[""c"", ""n""]",[]
132019n,"[""c"", ""n""]",[]
118999n,"[""c"", ""n""]","[""entailment""]"
47404e,"[""e""]","[""entailment""]"
30171n,"[""n""]",[]
134514c,"[""n""]",[]
52542n,"[""c""]","[""contradiction""]"
47408n,"[""c"", ""n""]","[""neutral""]"
135021n,"[""e""]","[""entailment""]"
88605e,"[""c"", ""n""]",[]
98710n,"[""c"", ""n""]",[]
30894c,"[""c"", ""n""]",[]
81356e,"[""c"", ""e""]",[]
132516n,"[""c"", ""n""]","[""entailment""]"
34176n,"[""e""]",[]
77116e,"[""c"", ""n""]",[]
76947n,"[""c"", ""n""]",[]
