id,llm_not_calidated_error,varierr_error
23751e,"[""c""]",[]
61429c,"[""e""]",[]
54811c,[],"[""contradiction""]"
12601n,"[""c""]",[]
38477c,"[""c""]",[]
1735n,[],"[""neutral""]"
7449e,"[""c""]","[""entailment""]"
24385e,"[""c""]",[]
49807n,[],[]
138448c,"[""e""]",[]
48454c,"[""c""]","[""contradiction""]"
73260n,"[""n""]","[""entailment""]"
76219n,"[""c""]",[]
10229n,[],[]
99791n,"[""c""]",[]
13964e,"[""c""]",[]
66185c,"[""e""]","[""contradiction""]"
65066n,[],[]
76020e,"[""c""]",[]
83248c,[],"[""neutral""]"
79141n,[],[]
97926n,[],[]
45957e,[],[]
24126n,"[""c""]","[""entailment""]"
135251n,"[""c"", ""n""]",[]
48223n,"[""c""]",[]
73518n,"[""e""]",[]
16996e,"[""c""]","[""contradiction""]"
69815n,"[""c""]",[]
35809n,[],[]
30282n,"[""c"", ""n""]",[]
142430c,[],[]
127290n,"[""c""]",[]
100792c,[],"[""entailment"", ""neutral""]"
75572n,"[""c""]",[]
22235n,"[""c""]",[]
40486n,"[""c""]",[]
13133n,"[""c"", ""n""]",[]
94674c,"[""n"", ""e""]",[]
101525c,[],[]
145495c,[],[]
93357c,"[""e""]",[]
42388e,"[""c""]",[]
22587e,[],[]
131261n,"[""c""]",[]
51353c,"[""c""]",[]
10547c,"[""e""]",[]
136360e,"[""c"", ""n""]",[]
113193n,"[""c"", ""n""]","[""entailment""]"
120955n,[],"[""contradiction""]"
88188e,"[""c""]",[]
138966n,"[""n""]","[""contradiction""]"
48222n,[],[]
18428n,"[""c""]",[]
116059n,"[""c""]",[]
67610c,[],[]
95186n,"[""c""]",[]
77875e,"[""c"", ""n""]",[]
65879c,[],[]
86331e,"[""c""]",[]
65130n,"[""c""]","[""contradiction""]"
19578n,"[""c""]",[]
83657c,[],[]
102817c,[],"[""contradiction""]"
124590c,"[""e""]",[]
96583n,"[""c""]",[]
132525n,"[""n""]",[]
11362e,"[""c""]",[]
107468n,"[""c""]","[""entailment""]"
145047e,"[""c""]",[]
55888c,"[""c""]",[]
138285n,"[""c""]",[]
57454c,[],[]
88605n,"[""c""]",[]
72721e,"[""c""]",[]
49611e,[],[]
16989c,"[""e""]","[""contradiction""]"
112349c,"[""e""]","[""neutral""]"
119768n,"[""c""]","[""entailment""]"
111680e,"[""c""]",[]
43440n,[],[]
91709c,"[""c"", ""n""]",[]
47798n,"[""e""]",[]
103364n,"[""c"", ""n""]",[]
49462c,"[""c""]","[""contradiction""]"
97011c,"[""e""]",[]
56743e,"[""c""]",[]
48300c,[],[]
105769c,"[""e""]",[]
53866e,"[""c"", ""n""]","[""entailment""]"
136752e,"[""c""]",[]
14388e,[],"[""entailment""]"
103559e,"[""c""]",[]
132019n,"[""c"", ""n""]",[]
118999n,"[""c""]","[""entailment""]"
47404e,[],"[""entailment""]"
30171n,[],[]
134514c,[],[]
52542n,"[""c""]","[""contradiction""]"
47408n,"[""c""]","[""neutral""]"
135021n,[],"[""entailment""]"
88605e,"[""c""]",[]
98710n,"[""c""]",[]
30894c,"[""c"", ""n""]",[]
81356e,[],[]
132516n,"[""c""]","[""entailment""]"
34176n,[],[]
77116e,"[""c""]",[]
76947n,[],[]
139635n,"[""c""]",[]
101245n,"[""c"", ""n""]",[]
8545c,"[""e""]","[""neutral""]"
8219n,[],"[""entailment""]"
115247c,[],[]
99708e,"[""c"", ""n""]",[]
82415n,"[""c""]","[""contradiction""]"
82700c,"[""e""]",[]
1073c,"[""c""]",[]
120149c,"[""e""]",[]
124037n,"[""c"", ""n""]","[""entailment""]"
92062c,"[""e""]",[]
131235c,[],[]
46820e,[],"[""contradiction""]"
77590c,"[""c""]",[]
128542e,"[""c""]","[""entailment""]"
74768e,"[""c""]",[]
122928e,"[""c""]","[""entailment""]"
139409e,"[""c""]",[]
59208n,[],[]
133597n,[],[]
80517e,"[""c"", ""n""]",[]
93236c,"[""e""]",[]
142643c,"[""e""]",[]
31113e,[],[]
34776c,[],"[""contradiction""]"
121422c,[],[]
104805e,[],[]
115821n,[],[]
80630e,"[""c""]","[""contradiction""]"
138862c,[],[]
105179c,"[""e""]",[]
109876n,"[""c""]",[]
65353n,"[""c"", ""n""]",[]
16494c,"[""e""]",[]
60732n,[],[]
88646c,"[""c""]",[]
53074n,[],[]
61818n,[],[]
46003n,"[""c""]",[]
6386n,"[""c""]",[]
98739n,"[""c""]",[]
108624c,[],[]
106013c,"[""e""]","[""entailment""]"
37407n,"[""e""]",[]
70590c,"[""e""]",[]
23901e,[],[]
23280n,[],[]
135247c,[],[]
58357c,[],[]
19803e,"[""c""]",[]
144753n,"[""c"", ""n""]",[]
15100e,"[""c"", ""n""]",[]
28507n,[],[]
123748n,"[""c""]",[]
111338c,"[""e""]",[]
52171c,[],[]
90548e,"[""c""]",[]
81842c,"[""n""]",[]
91601n,"[""c""]",[]
118415n,[],[]
113644n,"[""c""]",[]
47260n,"[""e""]",[]
129081e,"[""c""]",[]
18189e,"[""c""]",[]
91797c,[],[]
917c,[],[]
89995c,"[""e""]","[""entailment""]"
33822e,"[""c""]",[]
42983e,"[""c""]",[]
6105e,"[""c""]",[]
26143n,"[""e""]",[]
100768n,"[""c"", ""n""]",[]
82510e,[],[]
102563n,[],[]
48553c,[],[]
54458n,"[""c""]",[]
17576n,"[""e""]","[""contradiction"", ""entailment""]"
103431n,"[""c""]",[]
64123c,"[""c""]","[""contradiction""]"
56163c,[],[]
11297c,[],"[""neutral""]"
32889n,"[""c""]",[]
19c,"[""e""]",[]
32754e,"[""c""]",[]
12815n,"[""c"", ""n""]",[]
