id,llm_error,varierr_error
23751e,"[""n"", ""e"", ""c""]",[]
61429c,"[""n"", ""e"", ""c""]",[]
54811c,"[""n"", ""c""]","[""contradiction""]"
12601n,"[""n"", ""e"", ""c""]",[]
38477c,"[""n"", ""c""]",[]
1735n,"[""n"", ""e"", ""c""]","[""neutral""]"
7449e,"[""n"", ""e"", ""c""]","[""entailment""]"
24385e,"[""n"", ""e"", ""c""]",[]
49807n,"[""n""]",[]
138448c,[],[]
48454c,"[""n"", ""e"", ""c""]","[""contradiction""]"
73260n,"[""n"", ""c""]","[""entailment""]"
76219n,"[""n"", ""e"", ""c""]",[]
10229n,"[""n"", ""e"", ""c""]",[]
99791n,"[""n"", ""c""]",[]
13964e,"[""n"", ""e"", ""c""]",[]
66185c,"[""n"", ""e"", ""c""]","[""contradiction""]"
65066n,"[""n"", ""e"", ""c""]",[]
76020e,"[""n"", ""c""]",[]
83248c,"[""n"", ""e"", ""c""]","[""neutral""]"
79141n,"[""n"", ""e"", ""c""]",[]
97926n,"[""n"", ""e"", ""c""]",[]
45957e,"[""n"", ""e"", ""c""]",[]
24126n,"[""n"", ""e"", ""c""]","[""entailment""]"
135251n,"[""n"", ""e"", ""c""]",[]
48223n,"[""n"", ""e"", ""c""]",[]
73518n,"[""n"", ""e"", ""c""]",[]
16996e,"[""n"", ""e"", ""c""]","[""contradiction""]"
69815n,"[""n"", ""e"", ""c""]",[]
35809n,"[""n"", ""e"", ""c""]",[]
30282n,"[""n"", ""e"", ""c""]",[]
142430c,"[""n"", ""e"", ""c""]",[]
127290n,"[""n"", ""e"", ""c""]",[]
100792c,"[""n"", ""c""]","[""entailment"", ""neutral""]"
75572n,"[""n"", ""e"", ""c""]",[]
22235n,"[""n"", ""e"", ""c""]",[]
40486n,"[""n"", ""e"", ""c""]",[]
13133n,"[""n"", ""e"", ""c""]",[]
94674c,"[""n"", ""e"", ""c""]",[]
101525c,"[""n"", ""e"", ""c""]",[]
145495c,"[""n"", ""c""]",[]
93357c,"[""e""]",[]
42388e,"[""n"", ""e"", ""c""]",[]
22587e,"[""n"", ""e"", ""c""]",[]
131261n,"[""n"", ""c""]",[]
51353c,"[""n"", ""e"", ""c""]",[]
10547c,"[""n"", ""c""]",[]
136360e,"[""n"", ""e"", ""c""]",[]
