folder,file,original_count,retained_count,reduction_rate
103431n,E_0.txt,5,5,0.0
103431n,N_0.txt,5,5,0.0
103431n,C_0.txt,4,4,0.0
77654e,E_0.txt,1,1,0.0
77654e,N_0.txt,4,4,0.0
77654e,C_0.txt,2,2,0.0
81356e,E_0.txt,2,2,0.0
81356e,N_0.txt,2,2,0.0
81356e,C_0.txt,2,2,0.0
52761e,E_0.txt,4,4,0.0
52761e,N_0.txt,3,3,0.0
52761e,C_0.txt,3,3,0.0
31249e,E_0.txt,4,4,0.0
31249e,N_0.txt,5,5,0.0
31249e,C_0.txt,5,5,0.0
84781c,E_0.txt,1,1,0.0
84781c,N_0.txt,2,2,0.0
84781c,C_0.txt,3,3,0.0
32754n,E_0.txt,4,4,0.0
32754n,N_0.txt,2,2,0.0
32754n,C_0.txt,3,3,0.0
14126e,E_0.txt,2,2,0.0
14126e,N_0.txt,2,2,0.0
14126e,C_0.txt,2,2,0.0
72870n,E_0.txt,4,4,0.0
72870n,N_0.txt,4,4,0.0
72870n,C_0.txt,4,4,0.0
114458e,E_0.txt,3,3,0.0
114458e,N_0.txt,4,4,0.0
114458e,C_0.txt,4,4,0.0
135021n,E_0.txt,2,2,0.0
135021n,N_0.txt,3,3,0.0
135021n,C_0.txt,3,3,0.0
124839c,E_0.txt,3,3,0.0
124839c,N_0.txt,2,2,0.0
124839c,C_0.txt,4,4,0.0
49462c,E_0.txt,1,1,0.0
49462c,N_0.txt,3,3,0.0
49462c,C_0.txt,3,3,0.0
54811c,E_0.txt,0,0,0.0
54811c,N_0.txt,2,2,0.0
54811c,C_0.txt,2,2,0.0
102563n,E_0.txt,3,3,0.0
102563n,N_0.txt,4,4,0.0
102563n,C_0.txt,3,3,0.0
58016c,E_0.txt,0,0,0.0
58016c,N_0.txt,2,2,0.0
58016c,C_0.txt,3,3,0.0
114492n,E_0.txt,3,3,0.0
114492n,N_0.txt,3,3,0.0
114492n,C_0.txt,2,2,0.0
6105e,E_0.txt,3,3,0.0
6105e,N_0.txt,3,3,0.0
6105e,C_0.txt,4,4,0.0
35700c,E_0.txt,0,0,0.0
35700c,N_0.txt,4,4,0.0
35700c,C_0.txt,3,3,0.0
120323n,E_0.txt,2,2,0.0
120323n,N_0.txt,3,3,0.0
120323n,C_0.txt,2,2,0.0
96946n,E_0.txt,1,1,0.0
96946n,N_0.txt,3,3,0.0
96946n,C_0.txt,3,3,0.0
13911n,E_0.txt,0,0,0.0
13911n,N_0.txt,2,2,0.0
13911n,C_0.txt,3,3,0.0
56163c,E_0.txt,2,2,0.0
